,Neo-Assyrian,Achaemenid,Neo-Babylonian,Ur III,Old Babylonian,Middle Assyrian,Middle Babylonian,ED IIIa,Old Akkadian,ED IIIb,Seleucid,Old Assyrian,Lagaš II,Early Dynastic,Hellenistic,"Neo-Assyrian, Neo-Babylonian",unspecified,Uruk III,Uruk IV,ED I-II,First Millennium,Late Babylonian,Uncertain,Standard Babylonian,uncertain
unspecified,1326153.0,3373.0,24562.0,9530.0,71412.0,31201.0,99736.0,2870.0,1965.0,2404.0,598.0,119.0,5400.0,6982.0,9437.0,,31363.0,,,,10265.0,1218.0,,765.0,114.0
Akkadian,841910.0,25231.0,54159.0,21.0,834.0,66779.0,3842.0,,18.0,,5373.0,7418.0,,,9662.0,,10203.0,,,,,,903.0,,
"Akkadian, Aramaic",616.0,55.0,,,,,,,,,,,,,,,,,,,,,,,
Sumerian,2245.0,,921.0,685.0,74405.0,907.0,2918.0,6712.0,357.0,1776.0,8.0,,,,,,41.0,,,,,,4.0,,
"Akkadian, Aramaic, Luwian",236.0,,,,,,,,,,,,,,,,,,,,,,,,
"Sumerian, Akkadian",30917.0,,5920.0,,334.0,480.0,1365.0,,,,,,,,24870.0,2283.0,1225.0,,,,,,,,
Aramaic,20.0,,,,,,,,,,,,,,,,,,,,,,,,
Sumerian; Akkadian,29.0,,1099.0,,8932.0,,2202.0,,,,,,,,,,,,,,,,,,
Akkadian?,176.0,,,,,,,,,,,,,,,,,,,,,,,,
Sumerian/Akkadian Bilingual,1673.0,477.0,,,,,,,,,2914.0,,,,,,,,,,,,27.0,,
bilingual,399.0,,,,,,40.0,,,45.0,,,,,,,,,,,,,34.0,,
Sumerian (Akkadian colophon),,,39.0,,,,,,,,,,,,,,,,,,,,,,
akkadian,,,239.0,,,,,,,,,,,,,,,,,,,,,,
Sumerian ?,,,,,28.0,,,,,,,,,,,,,,,92.0,,,,,
Hittite,,,,,,,10511.0,,,,,,,,,,,,,,,,,,
Eblaite,,,,,,,,,,87.0,,,,,,,,,,,,,,,
undetermined,,,,,,,,,,,,,,,,,,17546.0,537.0,,,,,,
